,Input,,,,,,Output
Number,Hole ,Hole Depth,Burden to Spacing,Stemming,Max Charge,Powder Factor,Flyrock Distance
of blast,Diameter (mm) ,(m),Ratio,(m),Per Delay (Kg),(kg/m3),(m)
132,115,20,0.75,2.8,236.8,0.8,209
133,115,20,0.49,3.5,236.8,0.65,202
134,115,20,0.50,3.7,236.8,0.7,193
135,115,21,0.77,3,249.3,1,235
136,115,21,0.79,3.9,249.3,1.1,256
137,115,21,0.50,3.8,249.3,0.5,145
138,115,22,0.50,3.6,261.7,0.7,157
139,115,22,0.50,3.8,261.7,0.6,170
140,115,22,0.52,4,261.7,0.8,167
141,115,22,0.52,3.4,261.7,0.9,174
142,115,24,0.52,3.8,286.7,0.85,219
143,115,24,0.82,3,286.7,0.95,243
144,115,24,0.52,3.5,286.7,0.8,167
145,115,24,0.52,3.7,286.7,0.6,181
146,115,24,0.52,3,286.7,0.7,175
147,115,24,0.52,3.8,286.7,0.85,190
148,115,24,0.69,3,286.7,0.95,199
149,115,26,0.69,3.5,311.6,0.8,181
150,115,26,0.69,3.7,311.6,0.55,204
151,115,26,0.69,3.1,311.6,0.9,200
152,115,26,0.69,2.5,311.6,1.1,260
153,115,27,0.69,2.7,324.1,0.6,166
154,115,27,0.69,3.2,324.1,0.8,190
155,115,27,0.85,3,324.1,0.65,150
156,115,27,0.69,3.9,324.1,0.7,170
157,115,28,0.69,3.8,336.5,1,270
158,115,28,0.69,4,336.5,1.1,290
159,115,28,0.69,3.4,336.5,0.5,163
160,115,28,0.83,3.8,336.5,0.7,170
161,115,28,0.85,4,336.5,0.6,165
162,115,10,0.69,3.5,112.2,0.8,155
163,115,12,0.75,3.7,137.1,0.9,156
164,115,12,0.87,4,137.1,0.85,149
165,115,12,0.82,2.9,137.1,0.95,160
166,115,13,0.84,4,149.6,0.8,190
167,115,13,0.85,3.4,149.6,0.6,133
168,115,13,0.86,3,149.6,0.7,190
169,115,13,0.86,3.5,149.6,0.85,180
170,115,13,0.86,2.5,149.6,0.95,189
171,115,14,0.87,2.6,162.0,0.8,238
172,150,14,0.85,3.2,275.7,0.55,186
173,150,14,0.74,3,275.7,0.9,214
174,150,14,0.76,3.1,275.7,1.1,300
175,150,15,0.80,2.6,296.9,0.79,256
176,150,15,0.80,2.9,296.9,0.8,260
177,150,15,0.69,2,296.9,0.65,190
178,150,16,0.69,2,318.1,0.7,200
179,150,16,0.69,2.9,318.1,1,270
180,150,16,0.69,2.5,318.1,1.1,260
181,150,16,0.82,3,318.1,0.5,200
182,150,16,0.69,3.3,318.1,0.79,254
183,150,17,0.69,2.6,339.3,0.6,209
184,150,17,0.83,2.7,339.3,0.8,292
185,150,17,0.69,2.6,339.3,0.9,280
186,150,17,0.69,3.5,339.3,0.85,275
187,150,17,0.85,3,339.3,0.95,297
188,150,18,0.86,3.2,360.5,0.8,287
189,150,18,0.86,3.7,360.5,0.79,269
190,150,18,0.86,3.7,360.5,0.79,247
191,150,18,0.87,3.7,360.5,0.85,302
192,150,18,0.85,3.7,360.5,0.95,300
193,150,19,0.74,3.7,381.7,0.8,273
194,150,19,0.76,3.7,381.7,0.79,200
195,150,20,0.80,3.7,402.9,0.9,300
196,150,20,0.80,3.7,402.9,1.1,320
197,150,20,0.69,2.6,402.9,0.79,240
198,150,20,0.86,3.4,402.9,0.8,290
199,150,20,0.83,3.2,402.9,0.79,270
200,150,21,0.76,2.6,424.1,0.7,278
201,150,21,0.73,4,424.1,1,335
202,150,21,0.78,2.6,424.1,1.1,340
203,150,21,0.78,3.5,424.1,0.79,230
204,150,22,0.88,3.8,445.3,0.7,288
205,150,22,0.85,3,445.3,0.6,252
206,150,22,0.87,3.5,445.3,0.8,298
207,150,23,0.84,3.7,466.5,0.95,317
208,150,23,0.88,3.1,466.5,0.8,298
209,150,23,0.81,2.5,466.5,0.82,250
